Customer ID,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Age,Location,Gender,Purchased
1,53,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,65,9,2,Blouse
1,64,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,65,9,2,Sweater
1,73,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,65,9,2,Jeans
1,90,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,65,9,2,Belt
1,49,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,65,9,2,Blouse
1,20,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,65,9,2,Sneakers
1,85,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,65,9,2,Shirt
2,34,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,22,1,2,Shirt
2,97,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,22,1,2,Belt
2,31,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,22,1,2,Pants
2,34,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,22,1,2,Shirt
2,68,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,22,1,2,Shirt
3,72,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,22,2,1,Belt
3,51,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,22,2,1,Dress
3,53,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,22,2,1,Belt
3,81,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,22,2,1,Shirt
4,36,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,29,2,2,Sunglasses
4,38,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,29,2,2,Dress
4,48,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,29,2,2,Sweater
5,90,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,25,8,1,Pants
5,51,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,25,8,1,Pants
5,62,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,25,8,1,Pants
5,37,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,25,8,1,Pants
7,88,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,50,6,2,Pants
7,22,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,50,6,2,Pants
7,25,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,50,6,2,Pants
7,20,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,50,6,2,Jewelry
7,56,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,50,6,2,Shirt
7,94,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,50,6,2,Pants
7,48,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,50,6,2,Dress
7,31,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,50,6,2,Jewelry
7,79,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,50,6,2,Dress
8,67,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,31,3,1,Pants
8,38,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,31,3,1,Pants
8,91,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,31,3,1,Sweater
8,33,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,31,3,1,Blouse
8,69,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,31,3,1,Sweater
8,45,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,31,3,1,Jeans
8,37,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,31,3,1,Dress
8,60,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,31,3,1,Pants
8,76,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,31,3,1,Pants
8,39,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,31,3,1,Pants
8,100,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,31,3,1,Belt
9,69,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,29,6,1,Pants
9,53,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,29,6,1,Dress
9,21,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,29,6,1,Shirt
10,43,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,69,6,1,Shirt
10,54,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,69,6,1,Jewelry
10,55,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,69,6,1,Shirt
10,30,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,69,6,1,Pants
10,28,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,69,6,1,Blouse
11,59,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,55,6,1,Shirt
11,20,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,55,6,1,Sweater
12,24,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,39,5,1,Shirt
12,94,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,39,5,1,Belt
12,28,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,39,5,1,Pants
12,73,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,39,5,1,Backpack
12,64,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,39,5,1,Belt
12,54,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,39,5,1,Pants
12,79,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,39,5,1,Belt
