,support,itemsets
0,0.5275,frozenset({'Belt'})
1,0.315,frozenset({'Blouse'})
2,0.345,frozenset({'Dress'})
3,0.2,frozenset({'Jewelry'})
4,0.6175,frozenset({'Pants'})
5,0.6125,frozenset({'Shirt'})
6,0.345,frozenset({'Sweater'})
7,0.3375,"frozenset({'Belt', 'Pants'})"
8,0.34,"frozenset({'Belt', 'Shirt'})"
9,0.2075,"frozenset({'Belt', 'Sweater'})"
10,0.2025,"frozenset({'Blouse', 'Pants'})"
11,0.21,"frozenset({'Blouse', 'Shirt'})"
12,0.2325,"frozenset({'Pants', 'Dress'})"
13,0.2425,"frozenset({'Shirt', 'Dress'})"
14,0.3975,"frozenset({'Shirt', 'Pants'})"
15,0.235,"frozenset({'Pants', 'Sweater'})"
16,0.23,"frozenset({'Shirt', 'Sweater'})"
17,0.235,"frozenset({'Belt', 'Shirt', 'Pants'})"
