,Customer ID,Recommended
0,1,Pants
1,2,Shirt
2,3,Sweater
3,4,Jeans
4,5,Pants
5,7,Blouse
6,8,Shirt
7,9,Dress
8,10,Sweater
9,11,Backpack
10,12,Sweater
11,13,Dress
12,14,Belt
13,15,Belt
14,16,Sweater
15,17,Blouse
16,18,Backpack
17,19,Sweater
18,20,Jewelry
19,21,Pants
20,22,Shirt
21,23,Blouse
22,25,Pants
23,26,Dress
24,28,Sweater
25,29,Sweater
26,30,Pants
27,31,Jeans
28,32,Jewelry
29,33,Shirt
30,34,Backpack
31,35,Sweater
32,36,Sweater
33,37,Belt
34,38,Backpack
35,39,Sunglasses
36,40,Pants
37,41,Backpack
38,42,Belt
39,43,Blouse
40,44,Belt
41,46,Sneakers
42,47,Sneakers
43,48,Shirt
44,49,Sweater
45,50,Jewelry
46,51,Shirt
47,53,Dress
48,54,Sweater
49,55,Jeans
50,56,Blouse
51,57,Belt
52,58,Sunglasses
53,59,Blouse
54,60,Blouse
55,61,Blouse
56,62,Shirt
57,63,Belt
58,64,Sweater
59,65,Belt
60,66,Backpack
61,68,Belt
62,69,Blouse
63,70,Blouse
64,72,Shirt
65,73,Belt
66,74,Pants
67,75,Jeans
68,76,Blouse
69,77,Dress
70,78,Blouse
71,79,Sneakers
72,80,Belt
73,81,Sweater
74,82,Sweater
75,83,Belt
76,84,Jewelry
77,85,Sunglasses
78,86,Belt
79,87,Jewelry
80,88,Belt
81,89,Shirt
82,90,Blouse
83,92,Belt
84,93,Blouse
85,94,Belt
86,95,Belt
87,96,Dress
88,97,Jewelry
89,98,Belt
90,99,Shirt
91,100,Sunglasses
92,101,Sneakers
93,102,Belt
94,103,Blouse
95,104,Blouse
96,105,Pants
97,106,Dress
98,107,Dress
99,108,Belt
100,109,Dress
101,111,Jewelry
102,112,Pants
103,113,Backpack
104,114,Sweater
105,115,Blouse
106,116,Jewelry
107,117,Sweater
108,118,Belt
109,119,Jewelry
110,120,Blouse
111,121,Shirt
112,122,Sweater
113,123,Belt
114,124,Sweater
115,125,Belt
116,126,Pants
117,127,Sweater
118,128,Dress
119,129,Belt
120,130,Sneakers
121,131,Sweater
122,132,Backpack
123,133,Belt
124,134,Pants
125,135,Shirt
126,136,Blouse
127,137,Jewelry
128,138,Shirt
129,139,Sweater
130,140,Belt
131,141,Belt
132,142,Pants
133,143,Blouse
134,144,Blouse
135,145,Sunglasses
136,146,Sweater
137,147,Pants
138,148,Pants
139,149,Jewelry
140,150,Blouse
141,151,Sneakers
142,153,Shirt
143,154,Sneakers
144,155,Backpack
145,156,Blouse
146,157,Pants
147,158,Blouse
148,159,Pants
149,160,Belt
150,161,Shirt
151,162,Blouse
152,163,Jeans
153,164,Sweater
154,165,Shirt
155,166,Jewelry
156,167,Belt
157,168,Sneakers
158,169,Belt
159,170,Shirt
160,171,Pants
161,172,Blouse
162,173,Pants
163,174,Jewelry
164,176,Belt
165,177,Belt
166,178,Sneakers
167,180,Shirt
168,181,Blouse
169,182,Belt
170,183,Sweater
171,184,Blouse
172,185,Blouse
173,186,Blouse
174,188,Belt
175,189,Pants
176,190,Blouse
177,191,Shirt
178,192,Blouse
179,193,Blouse
180,194,Belt
181,195,Blouse
182,196,Shirt
183,198,Jeans
184,199,Sweater
185,200,Belt
186,201,Belt
187,202,Dress
188,203,Jewelry
189,204,Pants
190,205,Belt
191,206,Sweater
192,207,Pants
193,208,Pants
194,209,Belt
195,210,Sweater
196,211,Shirt
197,213,Belt
198,214,Blouse
199,215,Jewelry
200,216,Belt
201,217,Dress
202,218,Jeans
203,219,Belt
204,220,Sweater
205,221,Jeans
206,222,Jewelry
207,223,Belt
208,224,Shirt
209,225,Jeans
210,226,Backpack
211,227,Sneakers
212,228,Blouse
213,229,Jeans
214,230,Dress
215,231,Blouse
216,232,Pants
217,233,Sweater
218,234,Blouse
219,235,Blouse
220,236,Sunglasses
221,237,Belt
222,238,Belt
223,239,Blouse
224,241,Shirt
225,242,Dress
226,243,Sweater
227,244,Jewelry
228,246,Belt
229,247,Shirt
230,248,Shirt
231,249,Dress
232,250,Jeans
233,251,Jeans
234,252,Shirt
235,253,Blouse
236,254,Pants
237,256,Pants
238,257,Shirt
239,259,Sweater
240,260,Shirt
241,261,Backpack
242,262,Jewelry
243,263,Belt
244,264,Belt
245,265,Blouse
246,266,Sweater
247,267,Blouse
248,268,Blouse
249,269,Belt
250,270,Pants
251,271,Shirt
